Bus,busmap
1,AL0 0
3,AL0 0
5,AL0 0
6,AL0 0
7,AL0 0
8,AL0 0
9,AL0 0
12,AL0 0
13,AL0 0
5735,AL0 0
17,AT0 0
18,AT0 0
23,AT0 0
25,AT0 0
26,AT0 0
28,AT0 0
32,AT0 0
34,AT0 0
36,AT0 0
38,AT0 0
41,AT0 0
42,AT0 0
43,AT0 0
44,AT0 0
45,AT0 0
46,AT0 0
49,AT0 0
50,AT0 0
51,AT0 0
52,AT0 0
53,AT0 0
55,AT0 0
56,AT0 0
58,AT0 0
59,AT0 0
60,AT0 0
62,AT0 0
65,AT0 0
67,AT0 0
68,AT0 0
71,AT0 0
72,AT0 0
73,AT0 0
75,AT0 0
77,AT0 0
78,AT0 0
79,AT0 0
81,AT0 0
83,AT0 0
85,AT0 0
87,AT0 0
89,AT0 0
91,AT0 0
4608,AT0 0
4613,AT0 0
4616,AT0 0
4638,AT0 0
4646,AT0 0
4674,AT0 0
4675,AT0 0
4706,AT0 0
5391,AT0 0
5394,AT0 0
5421,AT0 0
5422,AT0 0
5425,AT0 0
5428,AT0 0
5429,AT0 0
5430,AT0 0
92,BA0 0
94,BA0 0
95,BA0 0
96,BA0 0
98,BA0 0
99,BA0 0
100,BA0 0
102,BA0 0
4716,BA0 0
4734,BA0 0
4738,BA0 0
4739,BA0 0
4740,BA0 0
4741,BA0 0
4742,BA0 0
4743,BA0 0
4744,BA0 0
4746,BA0 0
4747,BA0 0
4748,BA0 0
4749,BA0 0
4755,BA0 0
4764,BA0 0
4772,BA0 0
5694,BA0 0
5695,BA0 0
5698,BA0 0
5701,BA0 0
103,BE0 0
104,BE0 0
106,BE0 0
107,BE0 0
108,BE0 0
111,BE0 0
112,BE0 0
113,BE0 0
115,BE0 0
116,BE0 0
117,BE0 0
118,BE0 0
119,BE0 0
120,BE0 0
121,BE0 0
123,BE0 0
124,BE0 0
125,BE0 0
127,BE0 0
128,BE0 0
130,BE0 0
133,BE0 0
136,BE0 0
138,BE0 0
142,BE0 0
143,BE0 0
144,BE0 0
145,BE0 0
4090,BE0 0
4417,BE0 0
5205,BE0 0
5206,BE0 0
5214,BE0 0
5215,BE0 0
5216,BE0 0
5218,BE0 0
5530,BE0 0
146,BG0 0
148,BG0 0
150,BG0 0
151,BG0 0
